date,index_close,pe_ttm,equal_weight_pe_ttm,median_pe_ttm,pe_static,pb,equal_weight_pb,median_pb,earnings_yield,slug,name,source
2024-07-31,3442.08,11.32,28.96,19.2,11.27,1.25,2.84,2.07,8.833922,csi_300,CSI 300,Legulegu via AkShare
2024-08-01,3419.27,11.29,29.7,18.91,11.23,1.25,2.81,2.05,8.857396,csi_300,CSI 300,Legulegu via AkShare
2024-08-02,3384.39,11.19,29.36,18.79,11.14,1.23,2.78,2.02,8.93655,csi_300,CSI 300,Legulegu via AkShare
2024-08-05,3343.32,11.05,28.77,18.49,11.0,1.22,2.73,1.98,9.049774,csi_300,CSI 300,Legulegu via AkShare
2024-08-06,3342.98,11.01,29.01,18.51,10.96,1.21,2.76,2.03,9.082652,csi_300,CSI 300,Legulegu via AkShare
2024-08-07,3341.49,11.03,28.91,18.67,10.98,1.22,2.75,2.03,9.066183,csi_300,CSI 300,Legulegu via AkShare
2024-08-08,3342.94,11.03,28.81,18.65,10.98,1.22,2.75,2.04,9.066183,csi_300,CSI 300,Legulegu via AkShare
2024-08-09,3331.63,11.01,28.77,18.56,10.97,1.21,2.73,2.02,9.082652,csi_300,CSI 300,Legulegu via AkShare
2024-08-12,3325.86,11.0,28.66,18.63,10.97,1.22,2.72,2.02,9.090909,csi_300,CSI 300,Legulegu via AkShare
2024-08-13,3334.39,11.04,28.77,18.51,11.0,1.22,2.73,2.01,9.057971,csi_300,CSI 300,Legulegu via AkShare
2024-08-14,3309.24,11.0,28.43,18.54,10.96,1.21,2.7,1.99,9.090909,csi_300,CSI 300,Legulegu via AkShare
2024-08-15,3341.95,11.11,28.54,18.46,11.07,1.23,2.69,2.01,9.0009,csi_300,CSI 300,Legulegu via AkShare
2024-08-16,3345.63,11.16,28.37,18.55,11.13,1.23,2.68,2.0,8.960573,csi_300,CSI 300,Legulegu via AkShare
2024-08-19,3356.97,11.24,28.36,18.49,11.2,1.24,2.68,1.99,8.896797,csi_300,CSI 300,Legulegu via AkShare
2024-08-20,3332.7,11.16,27.81,18.28,11.15,1.23,2.65,1.95,8.960573,csi_300,CSI 300,Legulegu via AkShare
2024-08-21,3321.64,11.13,27.3,18.18,11.11,1.23,2.64,1.96,8.984726,csi_300,CSI 300,Legulegu via AkShare
2024-08-22,3313.14,11.14,26.42,17.88,11.13,1.23,2.61,1.94,8.976661,csi_300,CSI 300,Legulegu via AkShare
2024-08-23,3327.19,11.15,26.41,17.96,11.17,1.23,2.61,1.95,8.96861,csi_300,CSI 300,Legulegu via AkShare
2024-08-26,3324.22,11.11,26.15,17.68,11.17,1.23,2.59,1.94,9.0009,csi_300,CSI 300,Legulegu via AkShare
2024-08-27,3305.33,11.14,26.07,17.45,11.19,1.23,2.56,1.92,8.976661,csi_300,CSI 300,Legulegu via AkShare
2024-08-28,3286.5,11.07,25.73,17.42,11.12,1.22,2.54,1.91,9.033424,csi_300,CSI 300,Legulegu via AkShare
2024-08-29,3277.68,10.89,25.97,17.58,10.99,1.21,2.55,1.86,9.182736,csi_300,CSI 300,Legulegu via AkShare
2024-08-30,3321.43,10.86,25.72,17.8,11.03,1.22,2.59,1.91,9.208103,csi_300,CSI 300,Legulegu via AkShare
2024-09-02,3265.01,10.76,24.87,17.29,10.92,1.2,2.52,1.89,9.29368,csi_300,CSI 300,Legulegu via AkShare
2024-09-03,3273.43,10.69,25.09,17.57,10.86,1.19,2.53,1.91,9.354537,csi_300,CSI 300,Legulegu via AkShare
2024-09-04,3252.16,10.6,24.92,17.63,10.76,1.17,2.52,1.88,9.433962,csi_300,CSI 300,Legulegu via AkShare
2024-09-05,3257.76,10.58,25.06,17.64,10.75,1.17,2.52,1.89,9.451796,csi_300,CSI 300,Legulegu via AkShare
2024-09-06,3231.35,10.52,24.75,17.43,10.69,1.16,2.49,1.84,9.505703,csi_300,CSI 300,Legulegu via AkShare
2024-09-09,3192.95,10.39,24.53,17.4,10.55,1.15,2.47,1.83,9.624639,csi_300,CSI 300,Legulegu via AkShare
2024-09-10,3195.76,10.44,24.64,17.24,10.6,1.15,2.48,1.83,9.578544,csi_300,CSI 300,Legulegu via AkShare
2024-09-11,3186.13,10.33,25.65,17.27,10.49,1.14,2.49,1.83,9.680542,csi_300,CSI 300,Legulegu via AkShare
2024-09-12,3172.47,10.31,25.47,17.13,10.47,1.14,2.47,1.82,9.699321,csi_300,CSI 300,Legulegu via AkShare
2024-09-13,3159.25,10.29,24.29,17.07,10.45,1.14,2.45,1.79,9.718173,csi_300,CSI 300,Legulegu via AkShare
2024-09-18,3171.01,10.38,25.25,17.04,10.54,1.15,2.45,1.8,9.633911,csi_300,CSI 300,Legulegu via AkShare
2024-09-19,3196.04,10.42,24.59,17.16,10.58,1.15,2.47,1.82,9.596929,csi_300,CSI 300,Legulegu via AkShare
2024-09-20,3201.05,10.46,24.55,17.08,10.62,1.16,2.47,1.81,9.560229,csi_300,CSI 300,Legulegu via AkShare
2024-09-23,3212.76,10.52,24.53,17.06,10.68,1.16,2.47,1.8,9.505703,csi_300,CSI 300,Legulegu via AkShare
2024-09-24,3351.91,10.97,25.51,17.91,11.14,1.21,2.57,1.89,9.11577,csi_300,CSI 300,Legulegu via AkShare
2024-09-25,3401.53,11.11,25.82,18.18,11.28,1.23,2.6,1.9,9.0009,csi_300,CSI 300,Legulegu via AkShare
2024-09-26,3545.32,11.48,25.93,18.77,11.66,1.27,2.71,1.98,8.710801,csi_300,CSI 300,Legulegu via AkShare
2024-09-27,3703.68,11.77,27.6,19.73,11.95,1.3,2.89,2.15,8.496177,csi_300,CSI 300,Legulegu via AkShare
2024-09-30,4017.85,12.65,29.68,21.55,12.86,1.4,3.2,2.32,7.905138,csi_300,CSI 300,Legulegu via AkShare
2024-10-08,4256.1,13.23,32.52,22.96,13.45,1.46,3.47,2.38,7.558579,csi_300,CSI 300,Legulegu via AkShare
2024-10-09,3955.98,12.38,30.29,20.99,12.58,1.37,3.23,2.18,8.077544,csi_300,CSI 300,Legulegu via AkShare
2024-10-10,3997.79,12.6,29.86,21.06,12.8,1.39,3.21,2.24,7.936508,csi_300,CSI 300,Legulegu via AkShare
2024-10-11,3887.17,12.34,28.7,20.43,12.54,1.37,3.09,2.18,8.103728,csi_300,CSI 300,Legulegu via AkShare
2024-10-14,3961.34,12.59,29.26,20.82,12.79,1.39,3.15,2.24,7.942812,csi_300,CSI 300,Legulegu via AkShare
2024-10-15,3855.99,12.23,28.44,20.23,12.43,1.35,3.06,2.18,8.176615,csi_300,沪深300,Legulegu via AkShare
2024-10-16,3831.59,12.21,27.9,20.28,12.4,1.35,3.01,2.18,8.190008,csi_300,CSI 300,Legulegu via AkShare
2024-10-17,3788.22,12.07,27.77,19.84,12.27,1.34,2.99,2.13,8.285004,csi_300,CSI 300,Legulegu via AkShare
2024-10-18,3925.23,12.4,29.19,20.5,12.61,1.37,3.15,2.17,8.064516,csi_300,CSI 300,Legulegu via AkShare
2024-10-21,3935.2,12.36,29.46,20.49,12.59,1.37,3.17,2.16,8.090615,csi_300,CSI 300,Legulegu via AkShare
2024-10-22,3957.78,12.32,29.49,21.07,12.63,1.37,3.18,2.22,8.116883,csi_300,CSI 300,Legulegu via AkShare
2024-10-23,3973.21,12.35,29.5,21.08,12.68,1.38,3.18,2.26,8.097166,csi_300,CSI 300,Legulegu via AkShare
2024-10-24,3928.83,12.24,29.14,20.41,12.56,1.36,3.13,2.23,8.169935,csi_300,CSI 300,Legulegu via AkShare
2024-10-25,3956.42,12.26,29.6,20.76,12.6,1.37,3.17,2.28,8.156607,csi_300,CSI 300,Legulegu via AkShare
2024-10-28,3964.16,12.26,29.57,21.06,12.59,1.36,3.17,2.27,8.156607,csi_300,CSI 300,Legulegu via AkShare
2024-10-29,3924.65,12.18,29.22,20.86,12.48,1.35,3.12,2.22,8.210181,csi_300,CSI 300,Legulegu via AkShare
2024-10-30,3889.45,12.03,29.49,20.67,12.34,1.32,3.07,2.17,8.312552,csi_300,CSI 300,Legulegu via AkShare
2024-10-31,3891.04,11.65,30.39,20.38,12.33,1.3,3.06,2.17,8.583691,csi_300,CSI 300,Legulegu via AkShare
2024-11-01,3890.02,11.72,29.93,20.35,12.38,1.3,3.02,2.17,8.532423,csi_300,CSI 300,Legulegu via AkShare
2024-11-04,3944.76,11.83,30.49,20.44,12.5,1.32,3.07,2.19,8.453085,csi_300,CSI 300,Legulegu via AkShare
2024-11-05,4044.57,12.08,31.64,20.98,12.76,1.34,3.17,2.26,8.278146,csi_300,CSI 300,Legulegu via AkShare
2024-11-06,4024.28,12.0,31.75,21.14,12.68,1.33,3.18,2.25,8.333333,csi_300,沪深300,Legulegu via AkShare
2024-11-07,4145.7,12.34,32.77,21.58,13.04,1.37,3.29,2.32,8.103728,csi_300,CSI 300,Legulegu via AkShare
